id,categoria,tela,status,observacao
100,Chat,Erro no chat,NÃO GERADA,
101,Chat,Anexar arquivo,NÃO GERADA,
102,Chat,Visualizar anexo,NÃO GERADA,
103,Chat,Visualização de imagem,NÃO GERADA,
104,Chat,Visualização de PDF,NÃO GERADA,
105,Chat,Resultado de visão,NÃO GERADA,
106,Chat,Resultado da IA,NÃO GERADA,
107,Chat,Ação executada pela FLOW,NÃO GERADA,
108,Chat,Confirmação antes de ação,NÃO GERADA,
109,Chat,Resultado da ação,NÃO GERADA,
110,Chat,Erro da ação,NÃO GERADA,
111,Chat,Pesquisa dentro da conversa,NÃO GERADA,
112,Chat,Mensagem copiada,NÃO GERADA,
113,Chat,Regenerar resposta,NÃO GERADA,
114,Chat,Continuar resposta,NÃO GERADA,
115,Chat,Feedback da resposta,NÃO GERADA,
116,Voz / Assistente,Ativar voz,NÃO GERADA,
117,Voz / Assistente,Assistente ouvindo,NÃO GERADA,
118,Voz / Assistente,Assistente processando,NÃO GERADA,
119,Voz / Assistente,Assistente respondendo,NÃO GERADA,
120,Voz / Assistente,Histórico de voz,NÃO GERADA,
121,Voz / Assistente,Configuração de voz,NÃO GERADA,
122,Voz / Assistente,Testar voz,NÃO GERADA,
123,Voz / Assistente,Treinar Wake Word,GERADA,Registrada como criada no histórico da conversa.
124,Voz / Assistente,Testar Wake Word,NÃO GERADA,
125,Voz / Assistente,Microfone e permissões,GERADA,Registrada como criada no histórico da conversa.
126,Voz / Assistente,Dispositivos de voz autorizados,GERADA,Registrada como criada no histórico da conversa.
127,Voz / Assistente,Diagnóstico de voz,GERADA,Registrada como criada no histórico da conversa.
128,Voz / Assistente,Privacidade de áudio,GERADA,Registrada como criada no histórico da conversa.
129,Voz / Assistente,Dados de áudio,NÃO GERADA,
130,Voz / Assistente,Histórico de comandos de voz,NÃO GERADA,
131,Voz / Assistente,Voz indisponível,NÃO GERADA,
132,Voz / Assistente,Microfone bloqueado,NÃO GERADA,
133,Rotinas / Automações,Lista de rotinas,NÃO GERADA,
134,Rotinas / Automações,Criar rotina,GERADA,Registrada como criada no histórico da conversa.
135,Rotinas / Automações,Editar rotina,GERADA,Registrada como criada no histórico da conversa.
136,Rotinas / Automações,Detalhes da rotina,GERADA,Registrada como criada no histórico da conversa.
137,Rotinas / Automações,Duplicar rotina,NÃO GERADA,
138,Rotinas / Automações,Pausar rotina,NÃO GERADA,
139,Rotinas / Automações,Ativar rotina,NÃO GERADA,
140,Rotinas / Automações,Excluir rotina,NÃO GERADA,
141,Rotinas / Automações,Confirmar exclusão,NÃO GERADA,
142,Rotinas / Automações,Testar rotina,NÃO GERADA,
143,Rotinas / Automações,Resultado do teste,NÃO GERADA,
144,Rotinas / Automações,Criar gatilho,NÃO GERADA,
145,Rotinas / Automações,Criar condição,NÃO GERADA,
146,Rotinas / Automações,Criar ação,NÃO GERADA,
147,Rotinas / Automações,Reordenar ações,NÃO GERADA,
148,Rotinas / Automações,Selecionar horário,NÃO GERADA,
149,Rotinas / Automações,Selecionar recorrência,NÃO GERADA,
150,Rotinas / Automações,Selecionar dispositivo,NÃO GERADA,
151,Rotinas / Automações,Selecionar integração,NÃO GERADA,
152,Rotinas / Automações,Histórico da rotina,NÃO GERADA,
153,Rotinas / Automações,Detalhes de execução,NÃO GERADA,
154,Rotinas / Automações,Falha da rotina,NÃO GERADA,
155,Rotinas / Automações,Rotina sem ações,NÃO GERADA,
156,Rotinas / Automações,Rotina desativada,NÃO GERADA,
157,Timers / Alarmes,Lista de timers,NÃO GERADA,
158,Timers / Alarmes,Criar timer,GERADA,Registrada como criada no histórico da conversa.
159,Timers / Alarmes,Timer em execução,GERADA,Registrada como criada no histórico da conversa.
160,Timers / Alarmes,Timer pausado,NÃO GERADA,
161,Timers / Alarmes,Timer concluído,GERADA,Registrada como criada no histórico da conversa.
162,Timers / Alarmes,Timer cancelado,NÃO GERADA,
163,Timers / Alarmes,Editar timer,NÃO GERADA,
164,Timers / Alarmes,Duplicar timer,NÃO GERADA,
165,Timers / Alarmes,Excluir timer,NÃO GERADA,
166,Timers / Alarmes,Histórico de timers,NÃO GERADA,
167,Timers / Alarmes,Detalhes do timer,NÃO GERADA,
168,Timers / Alarmes,Timer recorrente,NÃO GERADA,
169,Timers / Alarmes,Configurar som,NÃO GERADA,
170,Timers / Alarmes,Configurar vibração,NÃO GERADA,
171,Timers / Alarmes,Configurar Wear OS,NÃO GERADA,
172,Timers / Alarmes,Timer em segundo plano,NÃO GERADA,
173,Timers / Alarmes,Limite de timers do plano,NÃO GERADA,
174,Casa Inteligente,Casa inteligente,GERADA,Registrada como criada no histórico da conversa.
175,Casa Inteligente,Cômodos,NÃO GERADA,
176,Casa Inteligente,Detalhes do cômodo,NÃO GERADA,
177,Casa Inteligente,Criar cômodo,NÃO GERADA,
178,Casa Inteligente,Editar cômodo,NÃO GERADA,
179,Casa Inteligente,Excluir cômodo,NÃO GERADA,
180,Casa Inteligente,Dispositivos,NÃO GERADA,
181,Casa Inteligente,Adicionar dispositivo,GERADA,Registrada como criada no histórico da conversa.
182,Casa Inteligente,Procurando dispositivos,NÃO GERADA,
183,Casa Inteligente,Pareamento,NÃO GERADA,
184,Casa Inteligente,Código/QR Code,NÃO GERADA,
185,Casa Inteligente,Dispositivo conectado,GERADA,Registrada como criada no histórico da conversa.
186,Casa Inteligente,Falha no pareamento,NÃO GERADA,
187,Casa Inteligente,Detalhes do dispositivo,GERADA,Registrada como criada no histórico da conversa.
188,Casa Inteligente,Editar dispositivo,GERADA,Registrada como criada no histórico da conversa.
189,Casa Inteligente,Remover dispositivo,NÃO GERADA,
190,Casa Inteligente,Confirmar remoção,NÃO GERADA,
191,Casa Inteligente,Criar cena,NÃO GERADA,
192,Casa Inteligente,Editar cena,NÃO GERADA,
193,Casa Inteligente,Executar cena,NÃO GERADA,
194,Casa Inteligente,Criar automação residencial,NÃO GERADA,
195,Casa Inteligente,Histórico do dispositivo,NÃO GERADA,
196,Casa Inteligente,Dispositivo offline,NÃO GERADA,
197,Casa Inteligente,Dispositivo sem permissão,NÃO GERADA,
198,Integrações,Catálogo de integrações,NÃO GERADA,
199,Integrações,Pesquisa de integração,NÃO GERADA,
200,Integrações,Detalhes da integração,NÃO GERADA,
201,Integrações,Conectar integração,GERADA,Registrada como criada no histórico da conversa.
202,Integrações,Autorização OAuth,NÃO GERADA,
203,Integrações,Integração conectada,GERADA,Registrada como criada no histórico da conversa.
204,Integrações,Configurar integração,NÃO GERADA,
205,Integrações,Editar integração,NÃO GERADA,
206,Integrações,Desconectar integração,NÃO GERADA,
207,Integrações,Confirmar desconexão,NÃO GERADA,
208,Integrações,Permissões,NÃO GERADA,
209,Integrações,Sincronização,NÃO GERADA,
210,Integrações,Sincronização concluída,NÃO GERADA,
211,Integrações,Falha de sincronização,NÃO GERADA,
212,Integrações,Integração expirada,NÃO GERADA,
213,Integrações,Integração indisponível,NÃO GERADA,
214,Integrações,Logs da integração,NÃO GERADA,
215,Integrações específicas,WhatsApp,NÃO GERADA,
216,Integrações específicas,Configurar WhatsApp,NÃO GERADA,
217,Integrações específicas,WhatsApp conectado,NÃO GERADA,
218,Integrações específicas,WhatsApp desconectado,NÃO GERADA,
219,Integrações específicas,Conversas do WhatsApp,NÃO GERADA,
220,Integrações específicas,Instagram,NÃO GERADA,
221,Integrações específicas,Configurar Instagram,NÃO GERADA,
222,Integrações específicas,Instagram conectado,NÃO GERADA,
223,Integrações específicas,Gmail,NÃO GERADA,
224,Integrações específicas,Configurar Gmail,NÃO GERADA,
225,Integrações específicas,Gmail conectado,NÃO GERADA,
226,Integrações específicas,Caixa de entrada,NÃO GERADA,
227,Integrações específicas,E-mail detalhado,NÃO GERADA,
228,Integrações específicas,Criar e-mail,NÃO GERADA,
229,Integrações específicas,Google Calendar,NÃO GERADA,
230,Integrações específicas,Configurar Calendar,NÃO GERADA,
231,Integrações específicas,Agenda,NÃO GERADA,
232,Integrações específicas,Evento detalhado,NÃO GERADA,
233,Integrações específicas,Criar evento,NÃO GERADA,
234,Integrações específicas,Google Drive,NÃO GERADA,
235,Integrações específicas,Arquivos do Drive,NÃO GERADA,
236,Integrações específicas,Microsoft,NÃO GERADA,
237,Integrações específicas,Discord,NÃO GERADA,
238,Integrações específicas,Slack,NÃO GERADA,
239,Integrações específicas,Spotify,NÃO GERADA,
240,Integrações específicas,Wear OS,NÃO GERADA,
241,Integrações específicas,Serviços de casa inteligente,NÃO GERADA,
242,Memória,Memória,NÃO GERADA,
243,Memória,Adicionar memória,GERADA,Registrada como criada no histórico da conversa.
244,Memória,Editar memória,GERADA,Registrada como criada no histórico da conversa.
245,Memória,Detalhes da memória,GERADA,Registrada como criada no histórico da conversa.
246,Memória,Excluir memória,NÃO GERADA,
247,Memória,Confirmar exclusão,NÃO GERADA,
248,Memória,Pesquisar memória,NÃO GERADA,
249,Memória,Filtrar memórias,NÃO GERADA,
250,Memória,Categorizar memória,NÃO GERADA,
251,Memória,Memória criada,NÃO GERADA,
252,Memória,Memória atualizada,NÃO GERADA,
253,Memória,Memória protegida,NÃO GERADA,
254,Memória,Memória indisponível,NÃO GERADA,
255,Memória,Importar memórias,NÃO GERADA,
256,Memória,Exportar memórias,NÃO GERADA,
257,Memória,Preferências de memória,NÃO GERADA,
258,Memória,O que a FLOW lembra,NÃO GERADA,
259,Memória,Controle de memória,NÃO GERADA,
260,Arquivos,Arquivos,NÃO GERADA,
261,Arquivos,Upload,GERADA,Registrada como criada no histórico da conversa.
262,Arquivos,Upload em andamento,NÃO GERADA,
263,Arquivos,Upload concluído,NÃO GERADA,
264,Arquivos,Upload falhou,NÃO GERADA,
265,Arquivos,Visualizar arquivo,GERADA,Registrada como criada no histórico da conversa.
266,Arquivos,Detalhes do arquivo,GERADA,Registrada como criada no histórico da conversa.
267,Arquivos,Editar informações,NÃO GERADA,
268,Arquivos,Renomear arquivo,NÃO GERADA,
269,Arquivos,Mover arquivo,NÃO GERADA,
270,Arquivos,Criar pasta,NÃO GERADA,
271,Arquivos,Editar pasta,NÃO GERADA,
272,Arquivos,Excluir arquivo,NÃO GERADA,
273,Arquivos,Excluir pasta,NÃO GERADA,
274,Arquivos,Confirmar exclusão,NÃO GERADA,
275,Arquivos,Compartilhar arquivo,NÃO GERADA,
276,Arquivos,Permissões,NÃO GERADA,
277,Arquivos,Download,NÃO GERADA,
278,Arquivos,Pesquisa,NÃO GERADA,
279,Arquivos,Filtros,NÃO GERADA,
280,Arquivos,Arquivo não encontrado,NÃO GERADA,
281,Arquivos,Armazenamento cheio,NÃO GERADA,
282,Saúde e Bem-estar,Saúde,NÃO GERADA,
283,Saúde e Bem-estar,Visão geral,GERADA,Registrada como criada no histórico da conversa.
284,Saúde e Bem-estar,Indicadores,NÃO GERADA,
285,Saúde e Bem-estar,Detalhes do indicador,GERADA,Registrada como criada no histórico da conversa.
286,Saúde e Bem-estar,Adicionar dado,NÃO GERADA,
287,Saúde e Bem-estar,Editar dado,NÃO GERADA,
288,Saúde e Bem-estar,Metas,GERADA,Registrada como criada no histórico da conversa.
289,Saúde e Bem-estar,Criar meta,NÃO GERADA,
290,Saúde e Bem-estar,Editar meta,NÃO GERADA,
291,Saúde e Bem-estar,Concluir meta,NÃO GERADA,
292,Saúde e Bem-estar,Histórico da meta,NÃO GERADA,
293,Saúde e Bem-estar,Medicamentos,NÃO GERADA,
294,Saúde e Bem-estar,Adicionar medicamento,NÃO GERADA,
295,Saúde e Bem-estar,Editar medicamento,NÃO GERADA,
296,Saúde e Bem-estar,Lembrete,NÃO GERADA,
297,Saúde e Bem-estar,Registrar medicamento,NÃO GERADA,
298,Saúde e Bem-estar,Exames,NÃO GERADA,
299,Saúde e Bem-estar,Adicionar exame,NÃO GERADA,
300,Saúde e Bem-estar,Detalhes do exame,NÃO GERADA,
301,Saúde e Bem-estar,Consultas,NÃO GERADA,
302,Saúde e Bem-estar,Adicionar consulta,NÃO GERADA,
303,Saúde e Bem-estar,Detalhes da consulta,NÃO GERADA,
304,Saúde e Bem-estar,Dispositivos fitness,NÃO GERADA,
305,Saúde e Bem-estar,Sincronizar dispositivo,NÃO GERADA,
306,Saúde e Bem-estar,Falha de sincronização,NÃO GERADA,
307,Saúde e Bem-estar,Dados indisponíveis,NÃO GERADA,
308,Receitas / Alimentação,Receitas,NÃO GERADA,
309,Receitas / Alimentação,Pesquisa de receitas,NÃO GERADA,
310,Receitas / Alimentação,Filtros,NÃO GERADA,
311,Receitas / Alimentação,Detalhes da receita,GERADA,Registrada como criada no histórico da conversa.
312,Receitas / Alimentação,Favoritar,NÃO GERADA,
313,Receitas / Alimentação,Remover favorito,NÃO GERADA,
314,Receitas / Alimentação,Compartilhar,NÃO GERADA,
315,Receitas / Alimentação,Abrir receita externa,NÃO GERADA,
316,Receitas / Alimentação,Histórico,NÃO GERADA,
317,Receitas / Alimentação,Favoritos,GERADA,Registrada como criada no histórico da conversa.
318,Receitas / Alimentação,Preferências alimentares,NÃO GERADA,
319,Receitas / Alimentação,Ingredientes disponíveis,NÃO GERADA,
320,Receitas / Alimentação,Buscar por ingredientes,NÃO GERADA,
321,Receitas / Alimentação,Receita gerada pela FLOW,NÃO GERADA,
322,Receitas / Alimentação,Plano alimentar,NÃO GERADA,
323,Receitas / Alimentação,Lista de compras,NÃO GERADA,
324,Personalização da Flow,Personalidade,GERADA,Registrada como criada no histórico da conversa.
325,Personalização da Flow,Comportamento,GERADA,Registrada como criada no histórico da conversa.
326,Personalização da Flow,Autonomia,GERADA,Registrada como criada no histórico da conversa.
327,Personalização da Flow,Modelo de IA,GERADA,Registrada como criada no histórico da conversa.
328,Personalização da Flow,Visão,GERADA,Configuração de visão foi gerada; houve uma geração duplicada registrada anteriormente.
329,Personalização da Flow,Voz,GERADA,Registrada como criada no histórico da conversa.
330,Personalização da Flow,Testar voz,NÃO GERADA,
331,Personalização da Flow,Treinar Wake Word,GERADA,Registrada como criada no histórico da conversa.
332,Personalização da Flow,Testar Wake Word,NÃO GERADA,
333,Personalização da Flow,Memória da FLOW,NÃO GERADA,
334,Personalização da Flow,Permissões da FLOW,GERADA,Registrada como criada no histórico da conversa.
335,Personalização da Flow,Preferências de resposta,NÃO GERADA,
336,Personalização da Flow,Nível de criatividade,NÃO GERADA,
337,Personalização da Flow,Nível de proatividade,NÃO GERADA,
338,Skills,Estilo de comunicação,NÃO GERADA,
339,Skills,Regras personalizadas,NÃO GERADA,
340,Skills,Marketplace,NÃO GERADA,
341,Skills,Pesquisa de Skills,NÃO GERADA,
342,Skills,Categorias,NÃO GERADA,
343,Skills,Detalhes da Skill,NÃO GERADA,
344,Skills,Instalar Skill,NÃO GERADA,
345,Skills,Instalação concluída,NÃO GERADA,
346,Skills,Falha na instalação,NÃO GERADA,
347,Skills,Minhas Skills,NÃO GERADA,
348,Skills,Criar Skill,NÃO GERADA,
349,Skills,Editar Skill,NÃO GERADA,
350,Skills,Configurar Skill,NÃO GERADA,
351,Skills,Permissões da Skill,NÃO GERADA,
352,Skills,Executar Skill,NÃO GERADA,
353,Skills,Resultado da Skill,NÃO GERADA,
354,Skills,Logs da Skill,NÃO GERADA,
355,Skills,Publicar Skill,NÃO GERADA,
356,Skills,Revisão antes da publicação,NÃO GERADA,
357,Skills,Skill publicada,NÃO GERADA,
358,API / Desenvolvedor,Despublicar Skill,NÃO GERADA,
359,API / Desenvolvedor,Remover Skill,NÃO GERADA,
360,API / Desenvolvedor,Developer Dashboard,GERADA,Registrada como criada no histórico da conversa.
361,API / Desenvolvedor,Visão geral,GERADA,Registrada como criada no histórico da conversa.
362,API / Desenvolvedor,API Keys,GERADA,Registrada como criada no histórico da conversa.
363,API / Desenvolvedor,Criar API Key,NÃO GERADA,
364,API / Desenvolvedor,API Key criada,NÃO GERADA,
365,API / Desenvolvedor,Visualizar API Key,NÃO GERADA,
366,API / Desenvolvedor,Revogar API Key,NÃO GERADA,
367,API / Desenvolvedor,Confirmar revogação,NÃO GERADA,
368,API / Desenvolvedor,Webhooks,GERADA,Registrada como criada no histórico da conversa.
369,API / Desenvolvedor,Criar Webhook,NÃO GERADA,
370,API / Desenvolvedor,Editar Webhook,NÃO GERADA,
371,API / Desenvolvedor,Testar Webhook,NÃO GERADA,
372,API / Desenvolvedor,Webhook recebido,NÃO GERADA,
373,API / Desenvolvedor,Webhook falhou,NÃO GERADA,
374,API / Desenvolvedor,Logs,GERADA,Registrada como criada no histórico da conversa.
375,API / Desenvolvedor,Detalhes da requisição,NÃO GERADA,
376,API / Desenvolvedor,Sandbox,NÃO GERADA,
377,API / Desenvolvedor,Testar endpoint,NÃO GERADA,
378,API / Desenvolvedor,Resultado da requisição,NÃO GERADA,
379,API / Desenvolvedor,Erro da API,NÃO GERADA,
380,API / Desenvolvedor,Limites,NÃO GERADA,
381,API / Desenvolvedor,Limite atingido,NÃO GERADA,
382,API / Desenvolvedor,Documentação,GERADA,Registrada como criada no histórico da conversa.
383,API / Desenvolvedor,Documentação do endpoint,GERADA,Registrada como criada no histórico da conversa.
384,Conta / Perfil,SDKs,GERADA,Registrada como criada no histórico da conversa.
385,Conta / Perfil,Exemplos de código,GERADA,Registrada como criada no histórico da conversa.
386,Conta / Perfil,Minha conta,GERADA,Registrada como criada no histórico da conversa.
387,Conta / Perfil,Perfil,GERADA,Registrada como criada no histórico da conversa.
388,Conta / Perfil,Editar perfil,GERADA,Registrada como criada no histórico da conversa.
389,Conta / Perfil,Foto,NÃO GERADA,
390,Conta / Perfil,Dados pessoais,NÃO GERADA,
391,Conta / Perfil,E-mail,NÃO GERADA,
392,Conta / Perfil,Telefone,NÃO GERADA,
393,Conta / Perfil,Idioma,NÃO GERADA,
394,Conta / Perfil,Região,NÃO GERADA,
395,Conta / Perfil,Fuso horário,NÃO GERADA,
396,Segurança,Preferências,GERADA,Registrada como criada no histórico da conversa.
397,Segurança,Preferências de acessibilidade,NÃO GERADA,
398,Segurança,Segurança da conta,GERADA,Registrada como criada no histórico da conversa.
399,Segurança,Alterar senha,NÃO GERADA,
400,Segurança,Ativar 2FA,NÃO GERADA,
401,Segurança,Configurar autenticador,NÃO GERADA,
402,Segurança,Confirmar 2FA,NÃO GERADA,
403,Segurança,Códigos de recuperação,NÃO GERADA,
404,Segurança,Regenerar códigos,NÃO GERADA,
405,Segurança,Dispositivos conectados,GERADA,Registrada como criada no histórico da conversa.
406,Segurança,Sessões ativas,GERADA,Registrada como criada no histórico da conversa.
407,Segurança,Encerrar sessão,NÃO GERADA,
408,Segurança,Encerrar todas as sessões,NÃO GERADA,
409,Segurança,Login recente,GERADA,Registrada como criada no histórico da conversa.
410,Segurança,Alertas de segurança,GERADA,Registrada como criada no histórico da conversa.
411,Segurança,Atividade suspeita,NÃO GERADA,
412,Privacidade / Dados,Confirmar identidade,NÃO GERADA,
413,Privacidade / Dados,Recuperação de conta,GERADA,Registrada como criada no histórico da conversa.
414,Privacidade / Dados,Central de privacidade,NÃO GERADA,
415,Privacidade / Dados,Central de dados,GERADA,Registrada como criada no histórico da conversa.
416,Privacidade / Dados,Consentimentos,NÃO GERADA,
417,Privacidade / Dados,Gerenciar consentimentos,NÃO GERADA,
418,Privacidade / Dados,Exportar dados,GERADA,Registrada como criada no histórico da conversa.
419,Privacidade / Dados,Solicitar exclusão,GERADA,Registrada como criada no histórico da conversa.
420,Privacidade / Dados,Confirmar exclusão,NÃO GERADA,
421,Privacidade / Dados,Dados da conta,NÃO GERADA,
422,Privacidade / Dados,Dados da FLOW,NÃO GERADA,
423,Privacidade / Dados,Histórico de atividades,NÃO GERADA,
424,Privacidade / Dados,Dados de voz,NÃO GERADA,
425,Privacidade / Dados,Dados de visão,NÃO GERADA,
426,Planos / Assinatura,Memórias armazenadas,NÃO GERADA,
427,Planos / Assinatura,Dados de integrações,NÃO GERADA,
428,Planos / Assinatura,Planos,GERADA,Registrada como criada no histórico da conversa.
429,Planos / Assinatura,Comparação de planos,NÃO GERADA,
430,Planos / Assinatura,Selecionar plano,NÃO GERADA,
431,Planos / Assinatura,Assinatura atual,NÃO GERADA,
432,Planos / Assinatura,Gerenciar assinatura,GERADA,Registrada como criada no histórico da conversa.
433,Planos / Assinatura,Upgrade,NÃO GERADA,
434,Planos / Assinatura,Downgrade,NÃO GERADA,
435,Planos / Assinatura,Cancelar assinatura,NÃO GERADA,
436,Planos / Assinatura,Confirmar cancelamento,NÃO GERADA,
437,Planos / Assinatura,Reativar assinatura,NÃO GERADA,
438,Planos / Assinatura,Assinatura cancelada,NÃO GERADA,
439,Planos / Assinatura,Assinatura pendente,NÃO GERADA,
440,Planos / Assinatura,Plano expirado,NÃO GERADA,
441,Pagamentos,Recurso bloqueado pelo plano,NÃO GERADA,
442,Pagamentos,Uso e consumo,GERADA,Registrada como criada no histórico da conversa.
443,Pagamentos,Checkout,NÃO GERADA,
444,Pagamentos,Confirmar pagamento,NÃO GERADA,
445,Pagamentos,Pagamento aprovado,NÃO GERADA,
446,Pagamentos,Pagamento pendente,NÃO GERADA,
447,Pagamentos,Pagamento recusado,NÃO GERADA,
448,Pagamentos,Formas de pagamento,GERADA,Registrada como criada no histórico da conversa.
449,Pagamentos,Adicionar cartão,NÃO GERADA,
450,Pagamentos,Editar cartão,NÃO GERADA,
451,Pagamentos,Remover cartão,NÃO GERADA,
452,Pagamentos,Confirmar remoção,NÃO GERADA,
453,Pagamentos,Adicionar Pix,NÃO GERADA,
454,Pagamentos,Gerar boleto,NÃO GERADA,
455,Pagamentos,Detalhes da cobrança,NÃO GERADA,
456,Pagamentos,Fatura,NÃO GERADA,
457,Pagamentos,Histórico de pagamentos,GERADA,Registrada como criada no histórico da conversa.
458,Notificações,Nota fiscal,NÃO GERADA,
459,Notificações,Download da nota fiscal,NÃO GERADA,
460,Notificações,Central de notificações,NÃO GERADA,
461,Notificações,Preferências,GERADA,Registrada como criada no histórico da conversa.
462,Notificações,Notificação detalhada,NÃO GERADA,
463,Notificações,Marcar como lida,NÃO GERADA,
464,Notificações,Limpar notificações,NÃO GERADA,
465,Notificações,Notificações push,NÃO GERADA,
466,Notificações,Notificações por e-mail,NÃO GERADA,
467,Notificações,Notificações da FLOW,NÃO GERADA,
468,Suporte,Alertas de segurança,GERADA,Registrada como criada no histórico da conversa.
469,Suporte,Alertas de integração,NÃO GERADA,
